                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                    nan,                    nan,                    nan,                0.71876,                0.63333,                0.61255,                 0.4581,                    nan,                    nan,                    nan,                      0,                      0,                      0
                      2,                    nan,                    nan,                    nan,                0.72052,                0.63323,                0.61199,                0.45792,                    nan,                    nan,                    nan,             1.1782e-06,             1.1782e-06,             1.1782e-06
                      3,                    nan,                    nan,                    nan,                0.73109,                0.63264,                0.60479,                0.45728,                    nan,                    nan,                    nan,             2.3329e-06,             2.3329e-06,             2.3329e-06
                      4,                    nan,                    nan,                    nan,                0.73451,                0.63333,                0.61094,                0.44156,                    nan,                    nan,                    nan,              3.464e-06,              3.464e-06,              3.464e-06
                      5,                    nan,                    nan,                    nan,                0.65177,                0.63333,                 0.6105,                0.45701,                    nan,                    nan,                    nan,             4.5715e-06,             4.5715e-06,             4.5715e-06
                      6,                    nan,                    nan,                    nan,                0.65967,                   0.65,                0.61537,                0.45536,                    nan,                    nan,                    nan,             5.6555e-06,             5.6555e-06,             5.6555e-06
                      7,                    nan,                    nan,                    nan,                0.67226,                0.63579,                0.62121,                0.45745,                    nan,                    nan,                    nan,             6.7159e-06,             6.7159e-06,             6.7159e-06
                      8,                    nan,                    nan,                    nan,                0.68997,                0.62967,                 0.6257,                0.45604,                    nan,                    nan,                    nan,             7.7527e-06,             7.7527e-06,             7.7527e-06
                      9,                    nan,                    nan,                    nan,                0.68378,                0.64392,                0.61667,                0.45293,                    nan,                    nan,                    nan,              8.766e-06,              8.766e-06,              8.766e-06
                     10,                    nan,                    nan,                    nan,                0.68729,                0.64481,                0.60012,                 0.4508,                    nan,                    nan,                    nan,             9.7557e-06,             9.7557e-06,             9.7557e-06
                     11,                    nan,                    nan,                    nan,                0.69755,                0.63716,                0.65398,                0.47938,                    nan,                    nan,                    nan,             1.0722e-05,             1.0722e-05,             1.0722e-05
                     12,                    nan,                    nan,                    nan,                0.69873,                0.63641,                0.64624,                0.47469,                    nan,                    nan,                    nan,             1.1664e-05,             1.1664e-05,             1.1664e-05
                     13,                    nan,                    nan,                    nan,                0.73881,                0.61631,                0.64347,                 0.4718,                    nan,                    nan,                    nan,             1.2584e-05,             1.2584e-05,             1.2584e-05
                     14,                    nan,                    nan,                    nan,                0.73567,                  0.621,                0.64306,                 0.4711,                    nan,                    nan,                    nan,             1.3479e-05,             1.3479e-05,             1.3479e-05
                     15,                    nan,                    nan,                    nan,                0.74192,                0.62699,                0.64105,                0.46845,                    nan,                    nan,                    nan,             1.4351e-05,             1.4351e-05,             1.4351e-05
                     16,                    nan,                    nan,                    nan,                0.73941,                0.63223,                0.64003,                0.47054,                    nan,                    nan,                    nan,             1.5199e-05,             1.5199e-05,             1.5199e-05
                     17,                    nan,                    nan,                    nan,                0.75197,                0.63526,                0.63272,                0.46364,                    nan,                    nan,                    nan,             1.6024e-05,             1.6024e-05,             1.6024e-05
                     18,                    nan,                    nan,                    nan,                0.75197,                0.63526,                0.63272,                0.46364,                    nan,                    nan,                    nan,             1.6825e-05,             1.6825e-05,             1.6825e-05
                     19,                    nan,                    nan,                    nan,                0.72842,                   0.65,                0.63185,                0.45544,                    nan,                    nan,                    nan,             1.7603e-05,             1.7603e-05,             1.7603e-05
                     20,                    nan,                    nan,                    nan,                0.72842,                   0.65,                0.63185,                0.45544,                    nan,                    nan,                    nan,             1.8357e-05,             1.8357e-05,             1.8357e-05
                     21,                    nan,                    nan,                    nan,                0.65916,                   0.65,                0.63151,                0.45502,                    nan,                    nan,                    nan,             1.9088e-05,             1.9088e-05,             1.9088e-05
                     22,                    nan,                    nan,                    nan,                0.65916,                   0.65,                0.63151,                0.45502,                    nan,                    nan,                    nan,             1.9795e-05,             1.9795e-05,             1.9795e-05
                     23,                    nan,                    nan,                    nan,                0.64294,                   0.65,                0.63187,                0.45549,                    nan,                    nan,                    nan,             2.0478e-05,             2.0478e-05,             2.0478e-05
                     24,                    nan,                    nan,                    nan,                0.64294,                   0.65,                0.63187,                0.45549,                    nan,                    nan,                    nan,             2.1138e-05,             2.1138e-05,             2.1138e-05
                     25,                    nan,                    nan,                    nan,                0.64457,                0.65296,                0.63049,                0.45528,                    nan,                    nan,                    nan,             2.1774e-05,             2.1774e-05,             2.1774e-05
                     26,                    nan,                    nan,                    nan,                0.64457,                0.65296,                0.63049,                0.45528,                    nan,                    nan,                    nan,             2.2387e-05,             2.2387e-05,             2.2387e-05
                     27,                    nan,                    nan,                    nan,                0.62489,                0.65782,                0.63028,                0.45504,                    nan,                    nan,                    nan,             2.2976e-05,             2.2976e-05,             2.2976e-05
                     28,                    nan,                    nan,                    nan,                0.62489,                0.65782,                0.63028,                0.45504,                    nan,                    nan,                    nan,             2.3542e-05,             2.3542e-05,             2.3542e-05
                     29,                    nan,                    nan,                    nan,                0.59815,                0.66667,                 0.6309,                0.43758,                    nan,                    nan,                    nan,             2.4084e-05,             2.4084e-05,             2.4084e-05
                     30,                    nan,                    nan,                    nan,                0.59815,                0.66667,                 0.6309,                0.43758,                    nan,                    nan,                    nan,             2.4602e-05,             2.4602e-05,             2.4602e-05
                     31,                    nan,                    nan,                    nan,                0.79524,                0.54943,                0.63111,                0.43724,                    nan,                    nan,                    nan,             2.5097e-05,             2.5097e-05,             2.5097e-05
                     32,                    nan,                    nan,                    nan,                0.79524,                0.54943,                0.63111,                0.43724,                    nan,                    nan,                    nan,             2.5568e-05,             2.5568e-05,             2.5568e-05
                     33,                    nan,                    nan,                    nan,                 0.7904,                0.54831,                 0.6297,                0.45253,                    nan,                    nan,                    nan,             2.6016e-05,             2.6016e-05,             2.6016e-05
                     34,                    nan,                    nan,                    nan,                 0.7904,                0.54831,                 0.6297,                0.45253,                    nan,                    nan,                    nan,              2.644e-05,              2.644e-05,              2.644e-05
                     35,                    nan,                    nan,                    nan,                0.78819,                0.54902,                0.62951,                0.44498,                    nan,                    nan,                    nan,             2.6841e-05,             2.6841e-05,             2.6841e-05
                     36,                    nan,                    nan,                    nan,                0.78819,                0.54902,                0.62951,                0.44498,                    nan,                    nan,                    nan,             2.7218e-05,             2.7218e-05,             2.7218e-05
                     37,                    nan,                    nan,                    nan,                 0.7882,                 0.5506,                0.62981,                0.44953,                    nan,                    nan,                    nan,             2.7572e-05,             2.7572e-05,             2.7572e-05
                     38,                    nan,                    nan,                    nan,                 0.7882,                 0.5506,                0.62981,                0.44953,                    nan,                    nan,                    nan,             2.7902e-05,             2.7902e-05,             2.7902e-05
                     39,                    nan,                    nan,                    nan,                0.78668,                0.54766,                0.63068,                 0.4506,                    nan,                    nan,                    nan,             2.8208e-05,             2.8208e-05,             2.8208e-05
                     40,                    nan,                    nan,                    nan,                0.78668,                0.54766,                0.63068,                 0.4506,                    nan,                    nan,                    nan,             2.8491e-05,             2.8491e-05,             2.8491e-05
                     41,                    nan,                    nan,                    nan,                0.77988,                 0.5418,                0.57598,                0.43408,                    nan,                    nan,                    nan,              2.875e-05,              2.875e-05,              2.875e-05
                     42,                    nan,                    nan,                    nan,                0.77988,                 0.5418,                0.57598,                0.43408,                    nan,                    nan,                    nan,             2.8986e-05,             2.8986e-05,             2.8986e-05
                     43,                    nan,                    nan,                    nan,                0.77633,                0.54681,                0.57182,                0.43249,                    nan,                    nan,                    nan,             2.9198e-05,             2.9198e-05,             2.9198e-05
                     44,                    nan,                    nan,                    nan,                0.77633,                0.54681,                0.57182,                0.43249,                    nan,                    nan,                    nan,             2.9387e-05,             2.9387e-05,             2.9387e-05
                     45,                    nan,                    nan,                    nan,                0.77703,                0.54617,                0.57213,                0.43316,                    nan,                    nan,                    nan,             2.9552e-05,             2.9552e-05,             2.9552e-05
                     46,                    nan,                    nan,                    nan,                0.77703,                0.54617,                0.57213,                0.43316,                    nan,                    nan,                    nan,             2.9693e-05,             2.9693e-05,             2.9693e-05
                     47,                    nan,                    nan,                    nan,                0.77815,                0.55047,                0.58556,                0.43714,                    nan,                    nan,                    nan,             2.9811e-05,             2.9811e-05,             2.9811e-05
                     48,                    nan,                    nan,                    nan,                0.77815,                0.55047,                0.58556,                0.43714,                    nan,                    nan,                    nan,             2.9906e-05,             2.9906e-05,             2.9906e-05
                     49,                    nan,                    nan,                    nan,                0.78221,                0.55663,                0.57136,                0.41126,                    nan,                    nan,                    nan,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     50,                    nan,                    nan,                    nan,                0.78221,                0.55663,                0.57136,                0.41126,                    nan,                    nan,                    nan,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     51,                    nan,                    nan,                    nan,                0.78033,                0.55503,                0.56447,                0.41335,                    nan,                    nan,                    nan,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     52,                    nan,                    nan,                    nan,                0.78033,                0.55503,                0.56447,                0.41335,                    nan,                    nan,                    nan,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     53,                    nan,                    nan,                    nan,                0.78033,                0.55503,                0.56447,                0.41335,                    nan,                    nan,                    nan,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     54,                    nan,                    nan,                    nan,                 0.7796,                0.54937,                0.56431,                 0.4134,                    nan,                    nan,                    nan,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     55,                    nan,                    nan,                    nan,                 0.7796,                0.54937,                0.56431,                 0.4134,                    nan,                    nan,                    nan,             2.9907e-05,             2.9907e-05,             2.9907e-05
                     56,                    nan,                    nan,                    nan,                 0.7796,                0.54937,                0.56431,                 0.4134,                    nan,                    nan,                    nan,             2.9812e-05,             2.9812e-05,             2.9812e-05
                     57,                    nan,                    nan,                    nan,                0.77369,                0.54487,                0.56426,                0.39519,                    nan,                    nan,                    nan,             2.9695e-05,             2.9695e-05,             2.9695e-05
                     58,                    nan,                    nan,                    nan,                0.77369,                0.54487,                0.56426,                0.39519,                    nan,                    nan,                    nan,             2.9554e-05,             2.9554e-05,             2.9554e-05
                     59,                    nan,                    nan,                    nan,                0.77369,                0.54487,                0.56426,                0.39519,                    nan,                    nan,                    nan,             2.9389e-05,             2.9389e-05,             2.9389e-05
                     60,                    nan,                    nan,                    nan,                0.77039,                0.54255,                0.55627,                0.41054,                    nan,                    nan,                    nan,               2.92e-05,               2.92e-05,               2.92e-05
                     61,                    nan,                    nan,                    nan,                0.77039,                0.54255,                0.55627,                0.41054,                    nan,                    nan,                    nan,             2.8988e-05,             2.8988e-05,             2.8988e-05
                     62,                    nan,                    nan,                    nan,                0.77039,                0.54255,                0.55627,                0.41054,                    nan,                    nan,                    nan,             2.8753e-05,             2.8753e-05,             2.8753e-05
                     63,                    nan,                    nan,                    nan,                0.76487,                0.53754,                0.55622,                0.41058,                    nan,                    nan,                    nan,             2.8494e-05,             2.8494e-05,             2.8494e-05
                     64,                    nan,                    nan,                    nan,                0.76487,                0.53754,                0.55622,                0.41058,                    nan,                    nan,                    nan,             2.8211e-05,             2.8211e-05,             2.8211e-05
                     65,                    nan,                    nan,                    nan,                0.76487,                0.53754,                0.55622,                0.41058,                    nan,                    nan,                    nan,             2.7905e-05,             2.7905e-05,             2.7905e-05
                     66,                    nan,                    nan,                    nan,                0.76761,                0.54708,                0.55591,                0.40858,                    nan,                    nan,                    nan,             2.7575e-05,             2.7575e-05,             2.7575e-05
                     67,                    nan,                    nan,                    nan,                0.76761,                0.54708,                0.55591,                0.40858,                    nan,                    nan,                    nan,             2.7222e-05,             2.7222e-05,             2.7222e-05
                     68,                    nan,                    nan,                    nan,                0.76761,                0.54708,                0.55591,                0.40858,                    nan,                    nan,                    nan,             2.6845e-05,             2.6845e-05,             2.6845e-05
                     69,                    nan,                    nan,                    nan,                0.76713,                0.55024,                0.55484,                0.40548,                    nan,                    nan,                    nan,             2.6445e-05,             2.6445e-05,             2.6445e-05
                     70,                    nan,                    nan,                    nan,                0.76713,                0.55024,                0.55484,                0.40548,                    nan,                    nan,                    nan,             2.6021e-05,             2.6021e-05,             2.6021e-05
                     71,                    nan,                    nan,                    nan,                0.76713,                0.55024,                0.55484,                0.40548,                    nan,                    nan,                    nan,             2.5573e-05,             2.5573e-05,             2.5573e-05
                     72,                    nan,                    nan,                    nan,                0.76084,                0.53966,                0.55694,                0.41113,                    nan,                    nan,                    nan,             2.5102e-05,             2.5102e-05,             2.5102e-05
                     73,                    nan,                    nan,                    nan,                0.76084,                0.53966,                0.55694,                0.41113,                    nan,                    nan,                    nan,             2.4607e-05,             2.4607e-05,             2.4607e-05
                     74,                    nan,                    nan,                    nan,                0.76084,                0.53966,                0.55694,                0.41113,                    nan,                    nan,                    nan,             2.4089e-05,             2.4089e-05,             2.4089e-05
                     75,                    nan,                    nan,                    nan,                0.76492,                0.54972,                0.55603,                0.41105,                    nan,                    nan,                    nan,             2.3547e-05,             2.3547e-05,             2.3547e-05
                     76,                    nan,                    nan,                    nan,                0.76492,                0.54972,                0.55603,                0.41105,                    nan,                    nan,                    nan,             2.2982e-05,             2.2982e-05,             2.2982e-05
                     77,                    nan,                    nan,                    nan,                0.76492,                0.54972,                0.55603,                0.41105,                    nan,                    nan,                    nan,             2.2393e-05,             2.2393e-05,             2.2393e-05
                     78,                    nan,                    nan,                    nan,                0.76179,                0.54137,                0.55555,                0.39434,                    nan,                    nan,                    nan,              2.178e-05,              2.178e-05,              2.178e-05
                     79,                    nan,                    nan,                    nan,                0.76179,                0.54137,                0.55555,                0.39434,                    nan,                    nan,                    nan,             2.1144e-05,             2.1144e-05,             2.1144e-05
                     80,                    nan,                    nan,                    nan,                0.76179,                0.54137,                0.55555,                0.39434,                    nan,                    nan,                    nan,             2.0485e-05,             2.0485e-05,             2.0485e-05
                     81,                    nan,                    nan,                    nan,                0.76165,                0.53757,                 0.5538,                0.39381,                    nan,                    nan,                    nan,             1.9802e-05,             1.9802e-05,             1.9802e-05
                     82,                    nan,                    nan,                    nan,                0.76165,                0.53757,                 0.5538,                0.39381,                    nan,                    nan,                    nan,             1.9095e-05,             1.9095e-05,             1.9095e-05
                     83,                    nan,                    nan,                    nan,                0.76165,                0.53757,                 0.5538,                0.39381,                    nan,                    nan,                    nan,             1.8365e-05,             1.8365e-05,             1.8365e-05
                     84,                    nan,                    nan,                    nan,                0.75816,                0.53721,                0.55357,                0.38895,                    nan,                    nan,                    nan,             1.7611e-05,             1.7611e-05,             1.7611e-05
                     85,                    nan,                    nan,                    nan,                0.75816,                0.53721,                0.55357,                0.38895,                    nan,                    nan,                    nan,             1.6833e-05,             1.6833e-05,             1.6833e-05
                     86,                    nan,                    nan,                    nan,                0.75816,                0.53721,                0.55357,                0.38895,                    nan,                    nan,                    nan,             1.6032e-05,             1.6032e-05,             1.6032e-05
                     87,                    nan,                    nan,                    nan,                0.75816,                0.53721,                0.55357,                0.38895,                    nan,                    nan,                    nan,             1.5208e-05,             1.5208e-05,             1.5208e-05
                     88,                    nan,                    nan,                    nan,                0.75512,                0.52887,                0.55164,                0.38789,                    nan,                    nan,                    nan,              1.436e-05,              1.436e-05,              1.436e-05
                     89,                    nan,                    nan,                    nan,                0.75512,                0.52887,                0.55164,                0.38789,                    nan,                    nan,                    nan,             1.3488e-05,             1.3488e-05,             1.3488e-05
                     90,                    nan,                    nan,                    nan,                0.75512,                0.52887,                0.55164,                0.38789,                    nan,                    nan,                    nan,             1.2593e-05,             1.2593e-05,             1.2593e-05
                     91,                    nan,                    nan,                    nan,                0.75512,                0.52887,                0.55164,                0.38789,                    nan,                    nan,                    nan,             1.1674e-05,             1.1674e-05,             1.1674e-05
                     92,                    nan,                    nan,                    nan,                0.74083,                0.53195,                0.53514,                0.39763,                    nan,                    nan,                    nan,             1.0732e-05,             1.0732e-05,             1.0732e-05
                     93,                    nan,                    nan,                    nan,                0.74083,                0.53195,                0.53514,                0.39763,                    nan,                    nan,                    nan,             9.7656e-06,             9.7656e-06,             9.7656e-06
                     94,                    nan,                    nan,                    nan,                0.74083,                0.53195,                0.53514,                0.39763,                    nan,                    nan,                    nan,             8.7761e-06,             8.7761e-06,             8.7761e-06
                     95,                    nan,                    nan,                    nan,                0.74083,                0.53195,                0.53514,                0.39763,                    nan,                    nan,                    nan,             7.7631e-06,             7.7631e-06,             7.7631e-06
                     96,                    nan,                    nan,                    nan,                0.77621,                0.52262,                0.53531,                0.38093,                    nan,                    nan,                    nan,             6.7265e-06,             6.7265e-06,             6.7265e-06
                     97,                    nan,                    nan,                    nan,                0.77621,                0.52262,                0.53531,                0.38093,                    nan,                    nan,                    nan,             5.6663e-06,             5.6663e-06,             5.6663e-06
                     98,                    nan,                    nan,                    nan,                0.77621,                0.52262,                0.53531,                0.38093,                    nan,                    nan,                    nan,             4.5826e-06,             4.5826e-06,             4.5826e-06
                     99,                    nan,                    nan,                    nan,                0.77621,                0.52262,                0.53531,                0.38093,                    nan,                    nan,                    nan,             3.4753e-06,             3.4753e-06,             3.4753e-06
                    100,                    nan,                    nan,                    nan,                0.80269,                0.50619,                 0.5357,                0.38603,                    nan,                    nan,                    nan,             2.3444e-06,             2.3444e-06,             2.3444e-06
